Karlsruhe;Lehigh;Difference
1.186;1.061;0.125
1.151;0.992;0.159
1.322;1.063;0.259
1.339;1.062;0.277
1.200;1.065;0.135
1.402;1.178;0.224
1.365;1.037;0.328
1.537;1.086;0.451
1.559;1.052;0.507
