Concentration;Time;Density
1;10;0
1;10;5
1;10;2
1;10;4
2;10;4
2;10;7
2;10;6
2;10;5
3;10;7
3;10;8
3;10;10
3;10;7
1;14;1
1;14;4
1;14;3
1;14;2
2;14;6
2;14;7
2;14;8
2;14;7
3;14;10
3;14;8
3;14;10
3;14;7
1;18;2
1;18;4
1;18;5
1;18;6
2;18;9
2;18;8
2;18;10
2;18;5
3;18;12
3;18;9
3;18;10
3;18;8
