treatment,pig,e1,e2,e3,e4,e5 
PO,1,0.4,0.3,0.2,0.1,0.2 
PO,2,1.3,2.1,0.9,0.8,0.7 
PO,3,0.8,0.8,0.6,0.4,0.5 
PO,4,4.2,4.4,1.4,1.1,1.1 
PO,5,1.4,2.5,1.0,0.8,0.6 
PO,6,1.4,0.8,0.7,0.6,0.5 
IM,1,2.3,2.9,1.7,1.5,1.2 
IM,2,1.7,2.1,2.0,1.3,1.2 
IM,3,2.2,2.1,2.0,1.2,1.3 
IM,4,1.8,1.9,1.5,1.2,1.0 
IM,5,1.7,1.6,1.5,1.2,0.9 
IM,6,1.7,1.8,1.5,1.0,1.0 

