day,tractor,driver,time
1,1,a,3.89
1,1,b,2.58
1,1,c,2.94
1,1,d,2.6
1,1,e,2.46
1,2,a,2.57
1,2,b,2.89
1,2,c,2.95
1,2,d,2.69
1,2,e,2.67
2,1,a,3.81
2,1,b,2.1
2,1,c,2.86
2,1,d,2.16
2,1,e,2.39
2,2,a,3.06
2,2,b,2.99
2,2,c,2.85
2,2,d,2.63
2,2,e,2.46
3,1,a,4.01
3,1,b,2.08
3,1,c,2.29
3,1,d,2.09
3,1,e,2.59
3,2,a,2.95
3,2,b,2.82
3,2,c,2.67
3,2,d,2.26
3,2,e,2.64
