,n_estimators,min_samples_split,max_features,max_depth,criterion,bootstrap,accuracy
0,10,4,sqrt,10,entropy,True,0.7125736026357236
1,10,4,sqrt,10,entropy,False,0.715956914193572
2,10,4,sqrt,10,gini,True,0.7067551614345688
3,10,4,sqrt,10,gini,False,0.7167142448319146
4,10,4,sqrt,40,entropy,True,0.7455044603119776
5,10,4,sqrt,40,entropy,False,0.7460128056727152
6,10,4,sqrt,40,gini,True,0.7435407288179054
7,10,4,sqrt,40,gini,False,0.7443575724802965
8,10,4,log2,10,entropy,True,0.7154350646494818
9,10,4,log2,10,entropy,False,0.7134019970763696
10,10,4,log2,10,gini,True,0.710668056394106
11,10,4,log2,10,gini,False,0.7154786494615708
12,10,4,log2,40,entropy,True,0.7436256471089977
13,10,4,log2,40,entropy,False,0.7458333584752193
14,10,4,log2,40,gini,True,0.7486114881948185
15,10,4,log2,40,gini,False,0.7438734753229365
16,10,20,sqrt,10,entropy,True,0.7097638014057489
17,10,20,sqrt,10,entropy,False,0.7212098675784925
18,10,20,sqrt,10,gini,True,0.702797874236944
19,10,20,sqrt,10,gini,False,0.7080120792916306
20,10,20,sqrt,40,entropy,True,0.743061517156046
21,10,20,sqrt,40,entropy,False,0.7509146769626774
22,10,20,sqrt,40,gini,True,0.7404537523317816
23,10,20,sqrt,40,gini,False,0.7513531140781187
24,10,20,log2,10,entropy,True,0.7128922965526507
25,10,20,log2,10,entropy,False,0.7104494061446033
26,10,20,log2,10,gini,True,0.7026603664722298
27,10,20,log2,10,gini,False,0.7105103908176523
28,10,20,log2,40,entropy,True,0.7450454830486991
29,10,20,log2,40,entropy,False,0.7509432637016896
30,10,20,log2,40,gini,True,0.7415974815273985
31,10,20,log2,40,gini,False,0.7456683086904172
32,500,4,sqrt,10,entropy,True,0.7331561200092843
33,500,4,sqrt,10,entropy,False,0.7305979577686044
34,500,4,sqrt,10,gini,True,0.7289744556345188
35,500,4,sqrt,10,gini,False,0.7306738691594153
36,500,4,sqrt,40,entropy,True,0.768657997901128
37,500,4,sqrt,40,entropy,False,0.7590119602283504
38,500,4,sqrt,40,gini,True,0.7673942044203128
39,500,4,sqrt,40,gini,False,0.7601011055976581
40,500,4,log2,10,entropy,True,0.7342054522801338
41,500,4,log2,10,entropy,False,0.7307965267912808
42,500,4,log2,10,gini,True,0.7301914648719309
43,500,4,log2,10,gini,False,0.7307161357815585
44,500,4,log2,40,entropy,True,0.7665522553726098
45,500,4,log2,40,entropy,False,0.7595934133305152
46,500,4,log2,40,gini,True,0.7677507866716814
47,500,4,log2,40,gini,False,0.7598163982512302
48,500,20,sqrt,10,entropy,True,0.7249124258955684
49,500,20,sqrt,10,entropy,False,0.7276351432744679
50,500,20,sqrt,10,gini,True,0.7232870768243486
51,500,20,sqrt,10,gini,False,0.7254269423550193
52,500,20,sqrt,40,entropy,True,0.7588413846694277
53,500,20,sqrt,40,entropy,False,0.7623856657688606
54,500,20,sqrt,40,gini,True,0.7591890530573729
55,500,20,sqrt,40,gini,False,0.7621527572938429
56,500,20,log2,10,entropy,True,0.7264709861855788
57,500,20,log2,10,entropy,False,0.7291640413384484
58,500,20,log2,10,gini,True,0.7234846917096008
59,500,20,log2,10,gini,False,0.7262218343161149
60,500,20,log2,40,entropy,True,0.7580831456283774
61,500,20,log2,40,entropy,False,0.761778797989843
62,500,20,log2,40,gini,True,0.758370079384627
63,500,20,log2,40,gini,False,0.7622723949775149
